id,goal_usd,log_goal_usd,duration_days,prelaunch_days,name_char_length,name_word_count,blurb_char_length,blurb_word_count,launch_year,launch_month,launch_day,launch_weekday,launch_hour,has_video,prelaunch_activated,country,currency,category_parent,category_name,location_type,location_country,location_state,target_usd,log_target
800050031,6000.0,8.699681400989514,29.95833333333333,8.745763888888888,33,4,128,18,2013,2,8,4,12,1,0,US,USD,Music,Latin,Town,US,KY,10043.0,9.214730720277476
746075806,11655.89925,9.363653494006956,30.41644675925926,116.76618055555556,12,1,104,19,2018,5,22,1,14,1,0,CA,CAD,Film & Video,Documentary,Town,CA,ON,36295.9185519355,10.499488128273288
1638770732,106.553578,4.6779891234076905,27.0,4.452442129629629,50,7,104,22,2022,12,31,5,23,1,1,DE,EUR,Art,Painting,LocalAdmin,DE,Rhineland-Palatinate,3325.53716938,8.109687152839642
511984273,20000.0,9.90353755128617,30.0,14.75300925925926,13,3,62,8,2023,4,21,4,15,1,1,US,USD,Film & Video,Horror,Town,US,AL,30020.66,10.30967440012768
752979518,477.029064,6.169671533990288,30.60351851851852,27.764247685185182,44,8,99,14,2022,3,24,3,13,0,0,CA,CAD,Fashion,Accessories,Town,CA,ON,736.4454194876,6.603192078000846
454361169,149.207076,5.0120148487396765,60.0,4.0016087962962965,54,10,96,14,2018,7,10,1,10,0,0,AU,AUD,Games,Mobile Games,Town,AU,QLD,104.6836845216,4.660450524496539
815788129,15000.0,9.61587214452889,30.0,30.877569444444443,57,6,134,14,2018,7,25,2,13,1,0,US,USD,Technology,Hardware,Town,US,CO,18178.0,9.80802236071806
1898407662,1968.912195,7.585744249672725,30.0,2.1167824074074075,45,8,123,18,2020,1,4,5,12,1,0,GB,GBP,Design,Graphic Design,Town,GB,England,686.49405199,6.533053177852391
1245242118,17834.84925,9.788965713704473,30.041666666666668,6.71650462962963,33,6,127,19,2025,10,13,0,12,1,1,CA,CAD,Games,Video Games,Town,CA,QC,140.53861209,4.952572556820277
1655499131,10000.0,9.210440366976515,30.0,14.29386574074074,10,2,61,12,2025,3,17,0,7,0,0,US,USD,Food,Restaurants,Town,US,NY,11311.0,9.333619388136354
161997730,2676.8445,7.892767458844552,59.958333333333336,0.0785300925925926,60,9,132,15,2025,2,8,5,23,0,0,NO,NOK,Photography,Animals,Town,NO,Oslo Fylke,0.0,0.0
1997872118,5000.0,8.517393171418904,37.01085648148148,15.021712962962964,15,2,132,20,2012,8,2,3,0,1,0,US,USD,Publishing,Periodicals,Town,US,NY,8366.0,9.0320506762956
1458895027,13906.055125,9.54015155330192,30.0,62.66356481481481,20,4,78,11,2024,8,25,6,3,1,1,DE,EUR,Film & Video,Shorts,Town,DE,Schleswig-Holstein,14307.66199701,9.568620366921818
991892505,5909.33425,8.684457665484462,29.370868055555555,15.21875,12,2,73,14,2017,10,21,5,14,1,0,NL,EUR,Fashion,Footwear,Town,NL,North Holland,6382.08099,8.761406173566598
533843308,6372.231795,8.759861966063509,23.10875,41.36384259259259,32,4,111,18,2021,6,9,2,18,0,1,GB,GBP,Food,Drinks,Town,GB,Scotland,907.68901791,6.812002921132508
